id;title;title_en;title_jp;title_alias;type;source;num_episodes;status;duration;rating;score;scored_by;score_rank;popularity_rank;members;favorites;season;year;producers;licensors;studios;genres;explicit_genres;themes;target_audience;image_link;airing_date;end_date;full_airing_date;broadcast_day
40429;Bishoujo Senshi Sailor Moon Eternal Movie 2;Pretty Guardians Sailor Moon Eternal The Movie Part 2;劇場版 美少女戦士セーラームーンEternal;Gekijouban Bishoujo Senshi Sailor Moon Eternal 2, Pretty Guardians Sailor Moon Eternal The Movie 2;Movie;Manga;1;Finished Airing;1 hr 20 min;PG-13 - Teens 13 or older;7.7;8001;1128;4368;20019;90;;;;;Toei Animation, Studio Deen;Fantasy, Romance;;Mahou Shoujo, Mythology;Shoujo;https://cdn.myanimelist.net/images/anime/1710/111094.jpg;2021-02-11;;Feb 11, 2021;
40434;Mo Dao Zu Shi: Wanjie Pian;The Founder of Diabolism Season 3;魔道祖师 完结篇;Grandmaster of Demonic Cultivation 3, The Founder of Diabolism 3, Mo Dao Zu Shi 3rd Season, Mo Dao Zu Shi Final Arc;ONA;Web novel;12;Finished Airing;24 min per ep;R - 17+ (violence & profanity);8.66;18854;64;2416;63287;1384;;;Tencent Penguin Pictures;;B.CMAY PICTURES;Action, Adventure, Drama, Fantasy, Mystery;;Historical, Mythology, Reincarnation;;https://cdn.myanimelist.net/images/anime/1634/116782.jpg;2021-08-07;2021-10-16;Aug 7, 2021 to Oct 16, 2021;
40435;Mo Dao Zu Shi Q;The Founder of Diabolism Q;魔道祖師Q;;ONA;Novel;30;Finished Airing;5 min per ep;PG-13 - Teens 13 or older;8.1;7200;454;4343;20233;209;;;Tencent Penguin Pictures;;B.CMAY PICTURES;Comedy, Fantasy;;Historical, Mythology, Reincarnation;;https://cdn.myanimelist.net/images/anime/1210/122883.jpg;2020-07-31;2021-01-29;Jul 31, 2020 to Jan 29, 2021;
40436;Peter Grill to Kenja no Jikan;Peter Grill and the Philosopher's Time;ピーター・グリルと賢者の時間;;TV;Manga;12;Finished Airing;12 min per ep;R+ - Mild Nudity;5.52;80711;11240;1168;175728;696;summer;2020;;Sentai Filmworks;Wolfsbane;Comedy, Fantasy, Ecchi;;Harem;;https://cdn.myanimelist.net/images/anime/1368/108441.jpg;2020-07-11;2020-09-26;Jul 11, 2020 to Sep 26, 2020;Saturdays
40438;Obsolete;Obsolete;OBSOLETE;;ONA;Original;12;Finished Airing;13 min per ep;PG-13 - Teens 13 or older;5.89;1706;9718;7271;5634;11;;;Nitroplus, Good Smile Company, Bandai Namco Arts, Bandai Namco Online;Sentai Filmworks;Buemon;;;Mecha;;https://cdn.myanimelist.net/images/anime/1711/103227.jpg;2019-12-03;2020-12-01;Dec 3, 2019 to Dec 1, 2020;
40453;Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA;Is It Wrong to Try to Pick Up Girls in a Dungeon? II: Is It Wrong to go Searching for Herbs on a Deserted Island?;ダンジョンに出会いを求めるのは間違っているだろうか 2期 OVA;DanMachi II OVA;OVA;Light novel;1;Finished Airing;26 min;PG-13 - Teens 13 or older;6.44;46688;6813;1959;89705;69;;;;Sentai Filmworks;J.C.Staff;Adventure, Comedy, Fantasy, Ecchi;;;;https://cdn.myanimelist.net/images/anime/1360/111696.jpg;2020-01-29;;Jan 29, 2020;
40454;Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III;Is It Wrong to Try to Pick Up Girls in a Dungeon? III;ダンジョンに出会いを求めるのは間違っているだろうかIII;DanMachi 3rd Season, Is It Wrong That I Want to Meet You in a Dungeon 3rd Season;TV;Light novel;12;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;7.46;261652;1843;368;512321;1787;fall;2020;Movic, Warner Bros. Japan, KlockWorx, Hakuhodo DY Music & Pictures, Egg Firm, FuRyu, GREE, SB Creative;Sentai Filmworks;J.C.Staff;Action, Adventure, Fantasy;;;;https://cdn.myanimelist.net/images/anime/1523/108380.jpg;2020-10-03;2020-12-19;Oct 3, 2020 to Dec 19, 2020;Saturdays
40456;Kimetsu no Yaiba Movie: Mugen Ressha-hen;Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train;劇場版 鬼滅の刃 無限列車編;Gekijouban Kimetsu no Yaiba: Mugen Ressha-hen, Kimetsu no Yaiba: Infinity Train, Demon Slayer Movie: Infinity Train;Movie;Manga;1;Finished Airing;1 hr 56 min;R - 17+ (violence & profanity);8.64;829526;71;86;1259784;12214;;;Aniplex, Shueisha;Aniplex of America;ufotable;Action, Fantasy;;Historical;Shounen;https://cdn.myanimelist.net/images/anime/1704/106947.jpg;2020-10-16;;Oct 16, 2020;
40460;Nakanohito Genome [Jikkyouchuu]: Knots of Memories;;ナカノヒトゲノム【実況中】KNOTS OF MEMORIES;Naka no Hito Genome [Jikkyouchuu] OVA, The Ones Within OVA;OVA;Web manga;1;Finished Airing;24 min;PG-13 - Teens 13 or older;6.83;5022;4758;4863;15446;37;;;;;SILVER LINK.;Comedy, Drama;;Video Game;;https://cdn.myanimelist.net/images/anime/1118/103618.jpg;2020-02-27;;Feb 27, 2020;
40465;Chuubyou Gekihatsu Boy: Otoko ni Umareta Shukumei Dakara;Outburst Dreamer Boys: It Is the Destiny of Those Born as Men;厨病激発ボーイ 男に生まれた宿命だから;Chuubyou Gekihatsu Boy Episode 12, Outburst Dreamer Boys Episode 12, Chuubyou Gekihatsu Boy Special;Special;Novel;1;Finished Airing;24 min;PG-13 - Teens 13 or older;6.89;2398;4425;7075;6077;2;;;Lantis, Ai Addiction;Sentai Filmworks;Studio Deen;Comedy, Slice of Life;;School;;https://cdn.myanimelist.net/images/anime/1527/103340.jpg;2020-03-25;;Mar 25, 2020;
